	plus_min	del_min	plus_del
YKL220C	1.78630463968808	-1.12873299402319	-3.4861952625798
YOL155C	1.57171558103887	-1.58805116692334	1.76272795335588
YIR017C	-0.487370066569628	1.96226182080076	-4.20305241221928
YBR062C	-0.915677084701609	1.82175346774328	-2.34884714831124
YBR272C	-0.768150894996071	1.8083530171153	1.66513593719556
YBR168W	-0.750518484443945	-1.82784255104503	2.76473273389588
YIL021W	-0.727747148176459	-1.73466571109805	-3.66705964202293
YBR293W	-1.09707978110659	-1.68120060148139	-2.12779465107072
YBR089C-A	-0.942176551456145	-1.23859805990222	-2.10984111926941
YIL152W	-0.88592511482848	1.45233939682991	1.93687229489517
YBR281C	-0.759576811604404	-2.22899208113029	1.42944674182103
YKL163W	-0.738888093322892	-1.82733420101315	1.80834608228832
YHR046C	0.637705725960625	1.75517918859023	2.94009642958261
YMR145C	-0.544053568845815	2.30359391646857	1.96977692714412
YBR018C	-1.26646396165344	-1.41335085234158	-1.50250564999064
YBR057C	-0.742478194605531	-1.43083557199668	-2.76911296988297
YIL028W	-0.803722728391854	1.4268418486792	-1.67279490663501
YLR413W	1.15408084997168	-1.5877923212593	-1.52436306517697
YLR452C	1.20607542119055	-1.85689354641696	1.54054389450827
YLL061W	0.618751147969874	-1.45476453646125	1.77542483359214
YHR092C	2.59075517235435	1.43052672778266	-2.6046700629437
YER179W	-0.665633348314854	-1.42943683675735	1.35724544320819
YBR073W	-0.923123350427939	1.70174606990774	-3.30526994036593
YBL014C	-0.939937277066621	1.97930877456359	-1.84553172679282
YBR084W	-1.09453262789166	1.88990097469778	-3.4895125996621
YHR207C	0.559128627042914	1.4582761909487	-1.32441200798385
YBR128C	-0.76183502075492	-1.24613854820977	1.5474770472577
YIL143C	-1.30649803223897	-2.04862001659664	-1.95671152748612
YBL067C	-1.33367149606764	-1.55508124958351	-4.99981590508835
YBR260C	-0.852251641502201	-1.36131063925796	-2.2145294108792
YBR095C	-0.978214280268134	1.72853852811053	1.32884897100548
YBR046C	-0.473484122528431	-2.8738284499819	-2.16385298040807
YBR257W	-0.794225094879578	-1.86495866773113	-1.6565238977463
YBR007C	-1.01469777167508	-1.47954836504826	-1.18398766262686
YIL075C	-1.2732457838058	1.60504790442927	1.4484398024783
YIL071C	-1.03615870239346	-1.50204638321017	1.82114913272418
YLR299W	-0.627546461531495	-1.55774910122065	-1.35164127719767
YBR192W	-0.848500044942349	4.19012375564585	-1.62116423564511
YER142C	-1.15081159333652	1.39785648948233	-1.90797936469492
YBL093C	-0.82189813227143	-1.08729796306186	2.80200661802524
YNL129W	0.78260404764499	1.90984195243532	-2.04229569859455
YBL056W	-0.872948309935831	1.30276672546145	-3.69384815265994
YBR016W	-1.04061018294137	1.42959082957296	2.61575246154362
YIL139C	-0.755696038083039	3.09432317964001	3.58134466523436
YBL046W	-0.911609628283058	3.55446865301117	2.08590094903362
YGL192W	1.12460434682293	3.0156024108826	1.6918688401228
YIL006W	-1.16826810263088	1.79958795529654	2.22835987460362
YER052C	0.9648739611324	-1.47614047659578	2.74656173135867
YBR045C	-0.538777033864142	1.2516022252371	-2.47603607491338
YBR223C	-1.09934725251303	-2.09679817350692	-1.26202211984892
YDR270W	1.20047937767543	1.23699244563212	2.38149670586517
YGR110W	-0.770212681303176	-2.06859521466575	-2.35653113911931
YPL273W	0.570996335292267	2.65529016533649	-1.30157043656001
YBL091C	-0.591350034803688	2.09976438379015	-2.51252631547293
YLL052C	1.23943786593857	-1.37947966381071	2.41004123372782
YBR157C	-0.989934083284516	-1.4209271533218	1.74502784121948
YIL055C	-1.05354996171365	-2.00989549094819	1.60707218657646
YIL088C	-0.689386236047299	-1.79216416228668	-1.68618653665006
YMR062C	1.35739900296656	-2.2640700482969	2.70612902484022
YBR015C	-0.718477095341684	-1.25613338844985	-3.98182773517978
YIL062C	-0.93422107362757	-1.48590502405249	-2.715439817647
YOL048C	-0.392096333954421	-1.47681508014836	-2.79516276920329
YBR005W	-0.587639216535477	-1.53069056102303	1.53504938438135
YNR001C	-0.665966434265466	-1.34374498816785	2.50572081837028
YDR428C	0.836946029365729	-1.47115799781999	1.60713794993892
YBR120C	-0.825899339809835	-1.00945681329223	-3.07754860447751
YBR145W	0.833467472782674	1.3159255133331	1.53730814409244
YBR063C	-0.875028799228926	-1.30831516234226	-1.69600493038457
YPL189W	1.0872166506419	-1.02231597112572	-2.41632128822821
YOL082W	-0.389776643670829	-1.07881256659067	-1.3539476327089
YIL131C	-0.798937260142172	0.998893815119341	-2.47335427483712
YKL107W	-0.678164012251018	1.90751150482892	1.54567704884924
YIL117C	-0.409679765746139	-1.35881749509559	1.58607350568845
YDR380W	-0.772539047969398	-1.04298868140651	-1.93782855854501
YOL058W	1.945579559208	-1.01648018294111	1.18300283102379
YIR009W	-1.07741608749063	1.6210726294762	-1.50760378335524
YBR173C	-1.21687207477363	2.40875728870121	1.24513098062158
YHL047C	2.09804216116262	-2.785420036533	2.2649854786516
YBR140C	-1.05250880928419	-1.75545520894414	-2.3349455110317
YGR109W-A	2.16336479465861	-1.28893518782385	-1.35575009556189
YBR085C-A	-0.750322309449103	-1.52954266725648	1.94652772337404
YJL153C	-0.476661169191535	-1.37075677083095	1.44848995867843
YBR227C	-0.772219662248102	1.23853866661915	1.80727760378577
YBL036C	-0.895977880073822	-1.15331809081122	-1.40349862705814
YIL044C	-0.751988235707716	-1.79361827616002	1.58153863714739
YMR090W	-0.698112400542329	-2.83809153736856	-2.43595598551269
YBR217W	-0.680572772527849	-1.47444307586438	-1.27180186224847
YBR214W	-1.5336940758886	1.83173153577142	1.62605048694453
YBR055C	-0.737784754034565	-1.08193402255286	1.90685342453859
YCL049C	-0.681846757073543	-1.03228339758896	-1.32891561564334
YNR044W	2.72899217770671	-1.4637468629412	1.50378700033928
YBL082C	-0.864978548043703	-1.43123203867077	1.33239580420292
YBR135W	-1.02480463844147	-2.12937285208299	2.09618128379291
YBL075C	-1.0287943494378	-2.0952321145973	1.42671897545577
YER073W	0.628435573747014	-1.15570724631346	-1.24591183773625
